"","X.1","X","Gender","Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Credit_History","Property_Area","Loan_Status","HouseholdIncome","IncomePerDependent","type_of_client"
"1",1,1,1,0,0,1,0,5849,0,242,360,1,3,1,5849,5849,0
"2",2,2,1,1,1,1,0,4583,1508,128,360,1,1,0,6091,6091,0
"3",3,3,1,1,0,1,1,3000,0,66,360,1,3,1,3000,3000,0
"4",4,4,1,1,0,0,0,2583,2358,120,360,1,3,1,4941,4941,0
"5",5,5,1,0,0,1,0,6000,0,141,360,1,3,1,6000,6000,0
"6",6,6,1,1,2,1,1,5417,4196,267,360,1,3,1,9613,4806.5,0
"7",7,7,1,1,0,0,0,2333,1516,95,360,1,3,1,3849,3849,0
"8",8,8,1,1,3,1,0,3036,2504,158,360,0,2,0,5540,1846.66666666667,0
"9",9,9,1,1,2,1,0,4006,1526,168,360,1,3,1,5532,2766,0
"10",10,10,1,1,1,1,0,12841,10968,349,360,1,2,0,23809,23809,1
"11",11,11,1,1,2,1,0,3200,700,70,360,1,3,1,3900,1950,0
"12",12,12,1,1,2,1,0,2500,1840,109,360,1,3,1,4340,2170,0
"13",13,13,1,1,2,1,0,3073,8106,200,360,1,3,1,11179,5589.5,0
"14",14,14,1,0,0,1,0,1853,2840,114,360,1,1,0,4693,4693,0
"15",15,15,1,1,2,1,0,1299,1086,17,120,1,3,1,2385,1192.5,0
"16",16,16,1,0,0,1,0,4950,0,125,360,1,3,1,4950,4950,0
"17",17,17,1,0,1,0,0,3596,0,100,240,1,3,1,3596,3596,0
"18",18,18,0,0,0,1,0,3510,0,76,360,0,3,0,3510,3510,0
"19",19,19,1,1,0,0,0,4887,0,133,360,1,1,0,4887,4887,0
"20",20,20,1,1,0,1,0,2600,3500,115,360,1,3,1,6100,6100,0
"21",21,21,1,1,0,0,0,7660,0,104,360,0,3,0,7660,7660,0
"22",22,22,1,1,1,1,0,5955,5625,315,360,1,3,1,11580,11580,0
"23",23,23,1,1,0,0,0,2600,1911,116,360,0,2,0,4511,4511,0
"24",24,24,1,1,2,0,0,3365,1917,112,360,0,1,0,5282,2641,0
"25",25,25,1,1,1,1,1,3717,2925,151,360,0,2,0,6642,6642,0
"26",26,26,1,1,0,1,1,9560,0,191,360,1,2,1,9560,9560,0
"27",27,27,1,1,0,1,0,2799,2253,122,360,1,2,1,5052,5052,0
"28",28,28,1,1,2,0,0,4226,1040,110,360,1,3,1,5266,2633,0
"29",29,29,1,0,0,0,0,1442,0,35,360,1,3,0,1442,1442,0
"30",30,30,0,0,2,1,0,3750,2083,120,360,1,2,1,5833,2916.5,0
"31",31,31,1,1,1,1,0,4166,3369,201,360,1,3,0,7535,7535,0
"32",32,32,1,0,0,1,0,3167,0,74,360,1,3,0,3167,3167,0
"33",33,33,1,0,1,1,1,4692,0,106,360,1,1,0,4692,4692,0
"34",34,34,1,1,0,1,0,3500,1667,114,360,1,2,1,5167,5167,0
"35",35,35,1,0,3,1,0,12500,3000,320,360,1,1,0,15500,5166.66666666667,0
"36",36,36,1,1,0,1,0,2275,2067,151,360,1,3,1,4342,4342,0
"37",37,37,1,1,0,1,0,1828,1330,100,360,0,3,0,3158,3158,0
"38",38,38,0,1,0,1,0,3667,1459,144,360,1,2,1,5126,5126,0
"39",39,39,1,0,0,1,0,4166,7210,184,360,1,3,1,11376,11376,0
"40",40,40,1,0,0,0,0,3748,1668,110,360,1,2,1,5416,5416,0
"41",41,41,1,0,0,1,0,3600,0,80,360,1,3,0,3600,3600,0
"42",42,42,1,0,0,1,0,1800,1213,47,360,1,3,1,3013,3013,0
"43",43,43,1,1,0,1,0,2400,0,75,360,1,3,1,2400,2400,0
"44",44,44,1,1,0,1,0,3941,2336,134,360,1,2,1,6277,6277,0
"45",45,45,1,1,0,0,1,4695,0,96,360,1,3,1,4695,4695,0
"46",46,46,0,0,0,1,0,3410,0,88,360,1,3,1,3410,3410,0
"47",47,47,1,1,1,1,0,5649,0,44,360,1,3,1,5649,5649,0
"48",48,48,1,1,0,1,0,5821,0,144,360,1,3,1,5821,5821,0
"49",49,49,0,1,0,1,0,2645,3440,120,360,0,3,0,6085,6085,0
"50",50,50,0,0,0,1,0,4000,2275,144,360,1,2,1,6275,6275,0
"51",51,51,0,1,0,0,0,1928,1644,100,360,1,2,1,3572,3572,0
"52",52,52,0,0,0,1,0,3086,0,120,360,1,2,1,3086,3086,0
"53",53,53,0,0,0,1,0,4230,0,112,360,1,2,0,4230,4230,0
"54",54,54,1,1,2,1,0,4616,0,134,360,1,3,0,4616,2308,0
"55",55,55,0,1,1,1,1,11500,0,286,360,0,3,0,11500,11500,0
"56",56,56,1,1,2,1,0,2708,1167,97,360,1,2,1,3875,1937.5,0
"57",57,57,1,1,0,1,0,2132,1591,96,360,1,2,1,3723,3723,0
"58",58,58,1,1,0,1,0,3366,2200,135,360,1,1,0,5566,5566,0
"59",59,59,1,1,1,1,0,8080,2250,180,360,1,3,1,10330,10330,0
"60",60,60,1,1,2,0,0,3357,2859,144,360,1,3,1,6216,3108,0
"61",61,61,1,1,0,1,0,2500,3796,120,360,1,3,1,6296,6296,0
"62",62,62,1,1,3,1,0,3029,0,99,360,1,3,1,3029,1009.66666666667,0
"63",63,63,1,1,0,0,1,2609,3449,165,180,0,1,0,6058,6058,0
"64",64,64,1,1,1,1,0,4945,0,152,360,0,1,0,4945,4945,0
"65",65,65,0,0,0,1,0,4166,0,116,360,0,2,0,4166,4166,0
"66",66,66,1,1,0,1,0,5726,4595,258,360,1,2,0,10321,10321,0
"67",67,67,1,0,0,0,0,3200,2254,126,180,0,3,0,5454,5454,0
"68",68,68,1,1,1,1,0,10750,0,312,360,1,3,1,10750,10750,0
"69",69,69,1,1,3,0,1,7100,0,125,60,1,3,1,7100,2366.66666666667,0
